--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr,bbr,8,9,16192936,12217920,1196292,1804689,20300381,20188749,102,108,101,103,29236214,30001822,36653.9645503027,1
cubic,bbr2,12,10,11057503,12482899,1918247,1709615,14968781,13296641,81,89,84,99,27207408,22403083,35051.4075120235,2
reno,cubic,11,12,15741146,16696386,1387010,1573645,13478142,14552943,89,82,98,92,21796945,22638048,31304.408832517507,3
cubic,cubic,12,8,11592977,11257123,1772834,1173518,15555376,18405515,115,80,95,96,24085228,28311381,30850.610457996117,4
bbr2,cubic,8,8,12773897,15262294,1710848,861663,12984305,20691741,95,83,107,118,21177527,23086174,34371.342573205904,5
bbr2,reno,8,9,15081697,11349829,704076,1336106,21321639,15073277,105,102,106,100,27757620,22768557,25660.486327023293,6
cubic,reno,10,12,12068990,14172335,1581021,1280503,12408754,18678680,110,106,105,106,22336584,21694395,33499.29216509625,7
reno,reno,9,9,15056711,15920681,1776746,1675389,13081052,21754459,83,117,113,90,24539181,29208256,24328.704891983216,8
cubic,bbr,8,10,16248761,14196441,1691871,1106611,12641565,20981975,118,119,100,85,25135712,27380061,36973.276975357345,9
reno,reno,9,11,14049864,12347877,1001479,1981211,14449233,15271991,88,98,88,117,28028888,25165659,24841.5694777637,10
bbr,bbr,10,11,10211476,14079931,1428234,815914,17881028,17428102,120,120,120,80,26010630,27134421,36596.28601667741,11
bbr,bbr,8,10,16617568,10198511,1144104,1060132,18433372,20025196,100,111,92,108,29876231,29923935,36323.802273926914,12
bbr,bbr,9,9,16573501,13226336,1164357,1492344,21343076,19786576,108,112,102,80,29869424,26986481,36371.61745277517,13
bbr,bbr,8,10,13881069,14548096,1989348,1989070,18690322,21647487,101,114,113,87,25873078,25542345,36961.010018139896,14
cubic,bbr,9,11,13694804,14576929,1918391,1015755,17358658,21643241,119,116,114,87,25709588,25030455,36289.40476365578,15
bbr,bbr2,8,10,14541328,15467359,1991019,1947932,18719830,16447817,97,96,111,85,23435338,26297950,35921.33164787656,16
cubic,bbr,11,11,12995988,13482213,1569611,1444180,16225353,18258238,113,120,120,85,26442408,24051579,36376.80656643099,17
bbr2,bbr,9,10,14948987,14873403,1640845,736035,11757762,11766853,92,114,90,93,23185356,20721926,36181.388983418925,18
cubic,bbr,10,10,15682416,13511127,1998197,1175515,19369219,21001974,115,105,81,88,24901568,26223773,34831.06001154308,19
bbr,bbr2,8,11,14150027,16222669,1825418,1007641,16642118,19261008,106,93,96,83,26805814,28236703,34744.356729263825,20
cubic,bbr,11,9,13216485,14005982,1487811,1206250,20082516,16631854,112,111,110,111,25233488,27938838,36370.939349740984,21
bbr,bbr,8,9,15915766,12224978,1257195,1832412,20239258,20301354,104,107,101,100,28712476,30026335,37193.27306343414,22
bbr,bbr,8,10,15771424,12886127,1315840,1885544,20013129,21076348,103,108,116,95,28889208,28989908,34189.704053069276,23
bbr,bbr,9,8,16053219,11524998,1009582,1811837,17346145,19481118,99,116,103,112,28465848,24430593,35949.487516943846,24
bbr,bbr,8,9,15357047,14928824,1287198,1650425,19206451,20647503,93,102,109,98,26981326,25980750,35896.199549233235,25
bbr,bbr,9,9,12425319,10137206,1519902,1840507,20895132,21762912,107,113,99,90,23938202,27226940,35149.958936024,26
reno,bbr,8,10,14544200,14468860,1685377,1989214,14177528,17503586,117,118,94,83,25452813,29159386,36435.09242541186,27
bbr2,bbr2,9,10,16725370,11935736,1010681,1434867,18056025,19287965,103,109,104,105,20304138,24010557,34468.027756502765,28
bbr,cubic,8,8,13631020,12997488,1880251,1766613,18970867,20369891,110,104,116,93,26153850,25827942,33406.867186264826,29
bbr,bbr,8,9,16206914,10677414,1240017,1549407,20350434,21120902,101,108,101,101,29161659,30190023,34919.88324250159,30
cubic,bbr,10,11,16138210,13814319,858985,1883725,15801749,20066744,97,114,87,102,27818888,27599468,35835.489942610984,31
bbr,bbr,8,9,15504159,12443344,1090614,1732101,19754303,21243381,104,109,98,105,29154994,29804369,35032.75834995473,32
bbr,bbr,8,9,16136382,12007563,1372987,1606037,21782643,19043922,101,115,100,113,29977886,28824039,36319.54029756658,33
bbr,cubic,8,8,10935716,12785586,1233289,1898578,20295633,20217415,80,118,97,109,27536569,28686463,31197.800097142044,34
cubic,bbr2,12,10,14782097,11893894,1446660,1779535,20674930,17648742,97,102,108,96,27171949,29524788,36802.21253536055,35
cubic,bbr2,12,10,14328031,10922583,1467802,1788407,20707542,17543794,90,99,108,96,28359734,29539889,34997.21310873549,36
cubic,bbr2,11,10,14870505,12025694,1628442,1922037,19312528,15865472,86,103,112,98,26526667,28363299,34548.73064857369,37
cubic,bbr2,12,12,14759855,11624212,1735979,920241,14970156,14109088,97,90,106,90,27355703,26754553,34105.20375650455,38
cubic,bbr2,12,10,13801042,15657315,1850932,1272598,21095634,18114476,94,106,117,94,24552330,27812870,36695.92620751381,39
reno,reno,11,10,15295556,12642473,1383295,1103534,19580751,18640256,109,100,108,87,26956809,25455693,26217.7509562941,40
bbr2,cubic,10,11,15774402,13705040,1793632,1660343,18456139,20640418,98,96,103,99,28556772,29468234,30185.63105454574,41
cubic,bbr2,12,10,13772171,15988287,1872835,1345839,20951551,18312276,94,106,116,94,24545533,27888181,34178.44844024257,42
cubic,bbr2,12,10,13358827,15378768,1923559,1277985,21735245,17825474,95,107,114,91,23874613,27614922,34864.45699884001,43
cubic,bbr2,12,10,12703595,16441678,1734541,1289068,20504964,16848050,90,111,118,97,24741496,28499536,33930.380617239,44
cubic,bbr2,11,9,13994374,14422796,1856449,1235722,21108788,19550705,87,101,118,83,22730189,30190812,35687.19893235452,45
cubic,reno,12,11,14589021,15656227,1962907,1129745,19913139,16091614,84,85,105,103,26022481,29493680,25651.070429529496,46
reno,bbr2,12,10,15175007,14776265,1595540,1398297,21391633,21459736,91,97,111,92,25477424,26775356,35582.64262990456,47
cubic,bbr2,9,10,16501619,15072461,1806286,1737736,13510447,17986787,95,104,113,88,24340059,22181943,36465.43880766484,48
cubic,cubic,11,11,14187093,11006388,1673086,941058,17668854,17092400,99,119,107,100,21665104,23528237,33767.99430317098,49
bbr2,reno,8,12,11996182,13241473,1438351,1995522,18894119,20605473,105,110,101,85,28027740,25485805,26705.89699745981,50
cubic,bbr,10,10,13884806,15704701,1531025,1565723,12281748,18859464,112,94,95,81,25769089,24805636,36702.12356361065,51
cubic,bbr,10,10,13103523,16620945,1515000,1847450,12139135,18800535,118,94,94,80,25031082,24966985,35465.42245101239,52
cubic,bbr,9,10,13546291,15644076,1321142,1702172,12814726,19772616,113,92,92,81,25891439,24718608,36589.83706751181,53
cubic,bbr,11,9,14403238,14257654,1564193,1602811,13606750,18027129,115,85,96,82,26368846,23385542,36302.926570665055,54
cubic,bbr,10,10,13929928,15993979,1745198,1945839,12587359,19024087,120,106,99,85,25573803,26379625,36648.35983389727,55
cubic,bbr,8,10,12902030,15296374,1426039,1543369,13260006,19832062,101,99,118,88,23499133,27332718,37628.82047491056,56
bbr,bbr,8,11,12707499,15244396,1429175,1511268,11799293,19895627,102,95,114,88,23391574,27278668,36921.77139474339,57
bbr,bbr,8,11,12760402,15230782,1417637,1516063,11852182,20910820,101,99,120,88,23388328,27330108,35979.16893628958,58
bbr,bbr,8,11,12324605,14716198,1118952,1487459,13148380,19808781,103,96,114,86,22557017,28197452,38084.871168691316,59
bbr,bbr,8,11,11570770,14664528,1179135,1376692,13198169,19742001,107,90,114,86,22615324,28164610,37156.749099829154,60
bbr,bbr,8,12,11246967,14668836,1094158,1400955,13988832,20412115,107,86,118,86,22234398,28277834,35712.46482440941,61
bbr,bbr,8,11,12109595,15102671,1211371,1484502,13287040,19812501,103,90,114,84,22861389,26841350,35599.84229920628,62
bbr,bbr,8,11,11734973,14270619,1163076,1462906,12964443,21802365,106,96,115,89,21808304,26457100,35499.92742255267,63
bbr,bbr,8,11,12380672,14026384,1108082,1376585,14718813,21284701,104,88,111,87,23646556,27308617,35093.4334687102,64
bbr,bbr,8,11,11434128,14938931,1290517,1535601,13860185,20026879,102,80,113,86,22962745,28181859,34990.55640462636,65
bbr,bbr,8,11,10379708,14696926,1042658,1448984,12604993,20903526,100,92,119,91,22322432,25842506,31712.997757416928,66
bbr,bbr,8,11,12554952,14458044,888526,1599217,13212680,19569426,108,95,115,120,20809738,28949211,35936.81268544373,67
bbr,bbr,9,12,12251570,15362539,1258365,1333184,11768786,20324664,105,98,110,89,22650352,27617948,35665.97165296481,68
bbr,bbr,8,11,11815189,13869134,1331828,1642065,12114595,21354372,102,116,112,84,22032527,28639599,35580.22785304073,69
bbr,bbr,8,8,12845922,13546610,912021,1320543,15448195,19321850,99,120,80,89,21218679,20241102,37932.37421002558,70
bbr,bbr,9,8,13027504,13421985,915176,1211418,16614626,19227312,99,119,80,86,21330027,20645641,35424.46095420365,71
bbr,bbr,8,8,12869171,14230988,949993,1498365,15309730,19752363,100,117,90,89,20770043,21746637,33576.56567209104,72
bbr,bbr,8,8,10838248,13593998,752637,785939,14357769,12173606,103,120,84,84,23231257,28028271,37594.351038027235,73
bbr,bbr,8,8,10596196,13625331,719032,749671,14203127,20805196,105,120,84,84,21386148,28023447,36398.493832924454,74
bbr,bbr,8,8,16370720,13216251,803572,834506,14590873,14229334,104,114,82,83,24239575,20293873,35063.81712292723,75
reno,bbr,8,8,11100193,13047293,786134,992178,15750679,13014766,98,118,84,82,20138713,26542508,36644.261469394776,76
bbr,bbr,8,9,10588195,13907340,1128707,1060387,16271363,12289788,107,113,86,87,29537581,29198328,36795.9490543758,77
bbr2,bbr,8,8,11491331,13592124,1058260,710456,15203904,18495867,110,120,82,85,22512198,27018783,37274.799964629725,78
bbr2,bbr,9,8,11504047,13705597,1051834,761340,15346448,15405449,109,120,82,85,22553272,27097885,35900.2705592042,79
bbr2,bbr,8,8,10830878,13269991,969368,703351,14923645,19292669,111,117,80,115,22945560,26118037,38442.53926005767,80
bbr2,bbr,8,8,10908709,12299403,944504,700754,14912539,18606048,110,118,80,110,23113376,27588428,36718.70294498722,81
bbr2,bbr,8,8,11320842,12570534,1182747,831645,14314657,19364211,112,117,84,106,23647814,25939734,37028.53833509016,82
bbr2,bbr,8,8,11299257,12123703,1183040,775057,13758916,19415592,111,117,82,114,23712220,25733931,37213.055920674684,83
bbr2,bbr,8,8,11708942,12765168,978715,791050,13809659,18579706,111,116,82,114,23053278,26139497,36052.928808792356,84
bbr2,reno,8,8,11972074,12161337,1058284,713214,15138087,19064383,114,82,86,92,22460593,26935802,25951.278366685277,85
bbr2,cubic,8,8,10779273,13253449,842562,868184,14605820,20137375,109,119,81,116,21922397,25236269,31573.581286669447,86
bbr2,bbr,8,8,10074242,11733525,1140375,773254,15991010,19436374,108,115,83,119,24045881,25629435,34837.59829030723,87
bbr2,bbr,8,8,10992548,13048194,1001043,901294,13626291,19572151,110,117,85,115,23319892,26635090,35878.34410432536,88
bbr2,bbr,8,8,11255004,12452380,1208443,799549,13982463,20437708,106,120,81,118,22056947,27850374,36584.57104777455,89
bbr2,bbr,9,9,10704343,13428676,1280245,736860,13356165,18460370,103,101,89,113,21608329,29854289,37531.89733971466,90
bbr2,bbr,9,9,10375463,13566890,1275320,874797,15485177,17275151,101,101,87,112,21384771,29816920,31037.731346243567,91
bbr2,bbr,8,8,10658753,13401740,1367769,716032,12957910,18276295,103,119,83,108,21659209,29985966,38244.85785733988,92
bbr2,bbr,8,8,10694521,12917702,1349421,729333,12825283,18402865,103,118,83,116,21549878,29690345,37497.92363816143,93
bbr2,bbr,8,8,10727733,13373731,1359064,728291,12999668,17751670,103,119,83,117,21531766,29376218,36053.9979945665,94
bbr2,bbr,9,8,10367749,12933282,1408332,738682,13411714,18876892,116,115,80,113,20707893,29931174,35513.19794590429,95
bbr2,bbr,8,8,10558221,13399317,756886,807378,12839701,18431120,100,118,83,116,21130708,29644415,35190.62725221729,96
bbr2,bbr,8,8,11125025,13789363,1343918,770974,12487087,18277925,103,120,85,109,21715506,29008621,36093.29190162752,97
bbr2,cubic,8,8,10750548,13135326,1478444,702800,14884652,18469724,98,117,88,114,21108016,28635352,32496.413760776635,98
bbr2,reno,8,8,10219944,12833650,1384912,839111,14395226,19165984,96,119,81,112,22137656,30013311,26536.973498482494,99
bbr2,bbr,8,8,13356664,12721781,886957,779097,13647164,18801749,106,116,82,115,22858605,26185538,37203.05461596218,100
bbr2,bbr,8,8,10872807,14108004,1080242,732917,12749013,17907977,113,118,90,108,23713040,29695394,36600.30977988176,101
bbr2,bbr,8,8,13262297,12756366,835448,783382,14137184,18180527,104,112,82,115,22882403,26240746,36142.37028164706,102
bbr2,bbr,8,8,11077644,13480335,895595,761447,13779949,18750879,102,115,85,117,22411559,26086670,35764.56784628319,103
bbr2,bbr,8,8,13519496,13643513,973220,804884,13373391,19033803,106,116,81,116,23231763,27029028,36277.901102745775,104
bbr2,bbr,8,9,12487837,13253658,1024726,888862,13558027,18871607,111,98,83,118,20978154,30181255,35199.26551825567,105
bbr2,bbr,8,8,12937253,12622644,1304381,969354,13089878,19324144,101,120,80,114,20402378,25638622,36777.606744001605,106
bbr2,bbr,8,9,13166312,13141006,873265,849550,13702648,17380759,105,117,82,113,22794669,29354332,35133.338275433285,107
bbr2,bbr,9,8,11365402,13360748,1233990,724894,12289807,19579566,102,113,88,111,21878443,28464010,35920.50103497328,108
reno,bbr,8,8,11184678,11345257,928963,747064,14026704,19908149,103,118,84,115,21560249,27471077,35835.94920788983,109
bbr2,bbr,9,8,10521838,12975738,720420,820112,14696705,18527106,99,119,86,111,22252666,25298532,35494.53488096568,110
bbr2,bbr,8,8,12609626,12203127,813225,700025,14420240,18149840,104,114,80,118,23530139,26601553,36586.406003783115,111
bbr2,bbr,8,9,13435175,11780726,1239716,782559,13113936,18979078,108,99,83,102,23096639,29925867,36461.84085047121,112
bbr2,bbr,8,9,10806971,12353032,1268273,747955,13358707,20165452,111,104,81,104,22718688,29663995,37464.312558701225,113
bbr2,bbr,8,8,10791411,12723357,1271615,738894,12983735,19262074,113,103,81,107,22578549,29126557,36169.22070636973,114
bbr2,bbr,8,8,10138388,12418266,1112422,761095,13387499,20085667,111,100,82,103,22863082,28782954,35805.540663745975,115
bbr2,bbr,8,9,10961129,13933354,1160389,801633,13241379,13468854,112,97,84,114,22431398,22741455,37211.98291602271,116
bbr2,bbr,8,9,10649078,13964141,1161328,931944,12709418,12964469,111,97,85,110,22410815,22694399,36527.65131771746,117
reno,bbr,8,9,10984874,13785729,1067951,824142,13312093,13209469,114,101,83,113,21997476,21012215,35285.48125352809,118
bbr2,cubic,8,9,10430211,13563979,1302175,717562,15151832,12270372,109,97,89,120,21702525,21425209,37537.0364984081,119
bbr2,cubic,8,9,10311545,12119403,1306618,724486,15104387,12720808,109,98,92,105,21661938,21227883,33562.21843467684,120
bbr2,cubic,8,9,12279438,13539514,1402223,750379,15616416,12130918,110,100,87,119,21233887,21646736,37748.62086670636,121
bbr2,cubic,8,9,10832310,13496737,1356014,702012,15582596,11762433,109,100,89,120,21304449,20181310,36499.932775025205,122
bbr2,cubic,8,9,12258938,13572179,1404823,756598,16057988,12175368,110,102,80,120,20531413,22281944,33010.706058371354,123
bbr2,cubic,8,9,10462347,13318780,1203507,858870,15324109,12284718,114,95,87,119,21031463,20971295,37468.094353081266,124
bbr2,cubic,8,9,10289863,13314876,1444930,727929,15197576,12049506,117,94,87,119,20934336,21491786,31574.38941032289,125
bbr2,cubic,8,9,10464454,13062729,1329685,855935,16284277,12765076,115,96,89,119,21490317,20577551,31985.394852585392,126
bbr2,cubic,8,9,10661272,13712461,1371118,1572234,15772343,12421255,101,95,91,117,21140948,21987201,35752.754463123165,127
bbr2,cubic,8,9,10007048,13461003,1202111,747509,15515595,12003686,116,93,86,119,20622562,20456149,35152.77231261909,128
bbr,cubic,8,9,10507873,12922891,1293187,810468,14911047,12508091,100,99,89,117,21791287,20991677,33741.53556300397,129
bbr2,cubic,8,9,12214841,14359606,1509889,724460,16855470,11883050,108,96,87,104,20949849,21458448,35974.138921814665,130
bbr2,cubic,8,9,12855459,14066758,1463996,1420498,15361070,12474613,114,101,85,84,21268356,21815954,29901.454970346662,131
bbr2,cubic,8,8,11654362,13167711,1217963,782283,15065556,12725096,112,103,83,118,23870419,20861146,35804.822373916446,132
bbr2,cubic,8,8,11465894,13644297,1120265,1625649,14727724,19679113,110,98,81,116,22201347,21241768,34177.04200969909,133
bbr2,reno,8,8,11899017,13331662,1266164,701587,14246901,12218840,111,120,88,120,21586632,29629727,24794.591931228075,134
bbr2,cubic,8,9,10422533,15829207,1391774,765391,15656513,13581570,103,104,84,86,21806929,23085518,34688.28090012625,135
bbr2,bbr,8,8,11069286,13839282,1184804,1470841,14492783,20494972,113,119,81,82,23320609,24012423,35323.473964300945,136
bbr,bbr,8,9,10704733,13593110,1335669,1308175,16023968,16429343,107,97,93,101,22047565,29788676,36802.373993470115,137
reno,bbr,8,8,10184714,11969047,1251730,1536254,12500443,14860277,105,100,86,119,22645021,27706102,35597.65177767424,138
bbr2,cubic,8,8,10878789,12567046,1031489,746117,13887387,20126824,112,95,91,107,23480826,29321397,31554.86341511123,139
bbr2,bbr,8,8,11185753,13481449,965577,787207,12848982,19444858,102,118,117,88,23158057,24433709,36230.12842882859,140
bbr,bbr,8,12,10545400,13136959,1424651,846780,15265991,19951087,110,120,82,87,24222114,20750991,35372.03088123863,141
bbr2,bbr,8,9,10861696,13933453,1162060,804899,13141349,13955612,112,97,84,115,22395723,21539332,34265.2439261006,142
bbr2,bbr,8,9,10983284,13711983,1149608,803060,13474961,13553758,111,99,84,114,21387788,22428852,36988.438643679176,143
bbr2,bbr,8,9,11320153,13317362,1214272,762859,14776112,12076503,114,93,80,116,22201646,27984976,37920.35404230697,144
bbr2,bbr,8,9,11410546,13290168,1218701,721731,14891780,12071741,116,92,80,117,22201092,28286051,36817.62202085478,145
bbr2,bbr,8,9,11624281,12869951,1322613,754623,14758620,11909638,114,94,81,116,21107846,27897641,35586.97495729066,146
bbr2,reno,8,9,10672058,13409721,1095748,1134619,14517255,12459751,101,93,80,85,21885132,28092028,26156.66733082574,147
cubic,bbr,9,8,12130888,13012339,998965,770720,14221758,12332039,104,117,82,118,22693051,27183790,36231.834105817106,148
bbr2,bbr,8,8,11247039,13541932,1362267,724409,15498472,12623301,113,91,81,112,23012081,30142731,36024.719033569956,149
bbr,bbr,8,10,12639926,11515485,1278252,898479,14998033,18330707,119,119,83,120,21638927,27497799,36451.17795080838,150
bbr2,bbr,8,9,11828628,13246899,1247044,820264,14064049,17670109,99,96,120,116,20884907,20453124,37177.531117527535,151
bbr2,bbr,8,9,10985546,13855831,1189630,789690,12992343,12938211,112,98,85,113,22499809,21260253,35620.3858850226,152
bbr2,bbr,8,9,12411694,13774457,1134196,744587,13214315,20264883,113,97,82,115,22057271,25709199,35691.92122477217,153
bbr2,bbr,8,9,11304144,14124232,1299107,1687615,13581757,11772671,115,93,87,114,22314033,28447510,35727.1880890747,154
bbr2,bbr,8,9,11110159,15004966,1190538,864088,12699117,19195018,111,120,83,118,21471943,21959697,37151.61481333198,155
bbr2,bbr,8,8,10747905,13409336,1221883,703106,15242502,18686820,109,95,80,117,22690891,26865829,36855.97554712087,156
bbr2,bbr,8,9,10435124,13610508,1075129,829346,13302459,12209027,110,119,84,110,21827430,29514072,36485.96231709953,157
bbr,cubic,10,9,10937522,13146268,753772,771088,12920365,19736233,114,118,81,112,23804415,28887021,30855.433204557652,158
bbr2,bbr,8,8,10636573,13319390,1386914,746953,13804394,13241174,103,100,88,86,21229660,22986753,37828.57699460481,159
bbr2,bbr,8,8,10278879,15560163,1384212,741956,15910361,17938260,103,101,90,86,21228137,23579929,37020.92316111408,160
cubic,bbr,8,8,10604292,12353912,1455039,700426,13827941,12121621,104,100,88,89,20546223,21012305,36038.27650885383,161
bbr2,bbr,8,8,10808166,13274380,1333100,794143,13516615,14471548,102,99,87,83,22951344,29861349,36180.93642657631,162
bbr2,bbr,8,8,10616993,13621604,1405596,732393,13721262,13062761,100,97,86,85,21647160,23072579,35953.92504998596,163
bbr2,bbr,8,8,11076492,13464501,1290349,764868,13197503,12601670,108,98,82,87,21078847,22941884,31904.339558057276,164
bbr2,bbr,8,8,10422436,13346239,1144307,729457,15359493,19366967,112,102,89,84,22231749,24979544,36437.14982062911,165
bbr2,bbr,8,9,10878976,13735306,1356264,755740,14763549,12346322,103,100,85,113,21328389,23781355,35702.463580849064,166
bbr2,bbr2,8,8,13034070,13119600,1261622,819327,13985496,13224001,101,105,91,90,21972604,28060833,35932.08693838231,167
bbr,cubic,8,8,10676374,15159464,1168329,787651,14416864,13432156,98,96,83,88,20836311,25381157,34589.359471119686,168
reno,bbr,8,10,11214845,14848386,1238539,717824,12297834,15640167,105,117,88,119,23257888,22477254,36033.38473631986,169
bbr2,bbr,8,9,11508437,13517515,1309702,754291,15029299,13904073,102,99,80,114,21479228,20170372,36041.83781145487,170
bbr2,bbr,8,8,12797155,14589068,911672,1053341,13460283,11958786,111,95,81,87,22411501,21602873,36141.43598802266,171
bbr2,bbr,8,8,13174332,12848467,1109459,775704,13020588,18716308,106,116,82,99,22801380,26370751,37728.739767923,172
bbr2,bbr,8,8,13174338,12952963,1106211,783371,12630232,18374349,104,116,82,98,22828993,25925339,35900.854402371995,173
bbr2,bbr,8,8,12993394,13971266,1041047,837414,13055897,19044467,103,118,83,95,23611754,26343922,35184.85600546609,174
bbr2,bbr,8,8,10528622,13264762,1204598,743056,12802074,18751143,106,120,81,108,23120094,26721642,35809.94272873501,175
bbr2,bbr,8,8,10777279,13082600,1418089,1557972,13318781,19591882,109,119,80,104,22600862,27416165,36676.25624998907,176
bbr2,cubic,8,8,10928945,12546531,1138061,808785,15662323,12833651,110,94,86,85,22508591,22052035,32626.038498890957,177
bbr,bbr,8,9,13257234,13442579,1377573,1515639,13724450,18508208,107,117,84,99,22153923,27685087,35951.41339500231,178
bbr2,reno,8,8,10210878,16169437,1075203,769222,15162520,19871944,109,102,82,115,21730894,26383645,31731.11155998478,179
cubic,bbr,8,9,11058444,10395472,1171111,723478,12091462,18923224,113,116,85,116,22787093,21181282,36146.54404965351,180
bbr2,bbr,8,12,12534391,12837303,1109091,706201,13066717,18049996,105,118,102,84,21262600,26964369,36166.1799158598,181
bbr2,bbr,8,8,12951558,12712188,872313,773131,13564964,18710051,103,116,82,116,22979933,26197559,35998.11354032608,182
bbr2,bbr,8,8,13506396,12286399,766535,791859,13680329,19165984,106,109,83,115,22768041,26450254,34944.43787189301,183
bbr2,bbr,8,8,13660790,12124520,955839,740830,13333785,19411491,102,119,81,106,23404093,25829624,35721.75671192883,184
bbr2,bbr,8,8,13267870,12640415,849960,1598967,13865200,18188372,105,115,119,117,23128008,27186167,33272.12467654446,185
bbr2,bbr,8,8,10695218,13025830,999894,871600,14651703,18887850,108,120,82,114,22298931,26031845,33710.62004479153,186
bbr2,cubic,8,8,13390693,12826349,891194,761768,14176522,12326495,112,98,80,115,22944306,29124543,33829.097206035236,187
bbr,bbr,8,9,12795463,13556882,814577,796744,12837146,18623458,110,96,84,118,21965848,30010715,36292.748941862694,188
bbr2,bbr,8,8,10493729,13266875,912462,723557,15431519,18404483,104,118,83,86,22572311,23342040,36336.641426053495,189
bbr2,bbr,9,9,11401009,13702526,1347333,1238036,12505760,19133148,111,117,81,119,21552398,29588132,36433.415028953954,190
bbr2,cubic,8,8,13132846,12462432,1216747,841712,13412861,19935102,100,115,89,113,21044439,26656954,35246.0891987474,191
bbr,bbr,8,9,10833486,12157621,1268396,1733254,13184395,20616434,102,107,105,100,23368494,30175741,34489.880330269705,192
bbr,bbr,8,9,10600645,11910192,1242152,1932622,14969088,20147061,104,103,81,120,21398354,29842850,36337.79046899556,193
bbr,bbr,8,9,10343920,12267668,1314516,1799676,16510140,19658733,106,105,97,98,28213164,30008038,37030.548871440296,194
bbr,bbr,8,9,15997508,13425121,1195011,1865860,13012110,20404062,103,101,107,103,30185604,29657784,35298.577050350264,195
bbr,bbr,8,9,11022054,13167225,936153,1755386,17382425,12125405,107,100,116,102,24834442,21760761,36159.83488722854,196
bbr2,bbr,8,9,13339584,11775710,1288759,700334,13533447,11779883,104,107,87,109,25307354,29307080,35746.21853896004,197
bbr2,bbr2,8,8,10726793,12049798,1428478,744779,15157020,19452825,101,119,110,99,27645055,26119763,33575.90715021328,198
cubic,bbr,8,8,12695496,12435401,1129184,779607,14811694,18747138,114,97,82,101,28682203,20826498,36067.20534244378,199
reno,bbr,8,10,11974069,13352024,700325,808985,18002599,20220293,105,120,80,111,20749365,20398156,36605.1330745385,200
bbr,bbr,8,9,11254645,12960111,1396578,1968055,14353748,19784587,103,112,90,86,26589897,27816516,36509.38477353897,201
bbr2,bbr,8,9,11882166,13187289,1248975,825135,14058069,18233701,99,96,120,114,20826844,29699933,37660.766099506465,202
bbr2,bbr,8,9,11807684,15428617,1250847,1381369,18348932,18231524,112,95,120,114,20421273,29495297,36966.0754638492,203
bbr2,bbr,8,9,12290802,13219620,1176166,762175,14084028,18537497,99,97,88,114,21144465,29882399,36185.43128631006,204
bbr2,bbr,8,9,10915883,13553389,1224391,726199,13903884,16766379,97,96,119,113,20904072,24313872,35387.08675873055,205
bbr2,bbr,8,9,11671010,13329563,1279836,814643,13769513,18064635,101,94,99,115,22744762,25525324,36588.33689536355,206
bbr2,cubic,8,8,11543410,13109962,1333890,746881,13244040,18473505,100,99,84,116,21659398,21389210,34403.96215674405,207
bbr2,bbr,10,9,12179275,13646469,1361415,1171690,14615183,17835629,102,118,118,112,20140078,29710512,37940.48912908284,208
bbr2,bbr,10,9,12411548,13828581,1358778,773763,14601310,17745275,102,118,118,112,20755816,29795114,37773.437939740696,209
bbr2,bbr,11,9,12353270,13875986,1376125,843996,14573232,17772349,102,118,118,112,20351336,29781969,35842.64050702466,210
bbr2,bbr,10,9,11947242,13836578,1353854,777144,14511029,17270593,98,119,117,113,20302129,29434852,35001.506274195315,211
bbr2,bbr,10,9,12473941,13659046,1407293,743607,14862415,17906349,102,117,116,111,20703930,29740252,36462.11027641474,212
bbr2,bbr,10,9,12117316,13545715,1481273,789647,14262417,18285194,101,116,119,112,20651855,29682913,36771.77072525176,213
bbr2,bbr,10,9,12161284,13448233,1317361,1158491,14080839,17759698,111,118,115,114,21244479,29274342,36079.84819003085,214
bbr2,bbr,10,9,12065542,13714951,1364316,1315011,14677162,17511046,99,117,118,110,20991973,30040774,36069.376489613605,215
bbr2,bbr,10,8,12344173,14028405,1449917,723750,15270253,12527071,110,119,117,115,20198925,20634753,36036.26390998632,216
bbr2,reno,10,8,12253855,13365119,1395165,1488323,13629434,18077889,103,120,119,113,22417225,25731772,25358.004710297937,217
bbr2,bbr,8,10,12527976,13605728,1156185,766610,14498989,18323732,101,118,117,117,20513137,29588584,35172.847255328896,218
bbr2,cubic,8,9,10478902,14197079,1341484,701829,15020010,11978693,102,92,120,107,21503393,26261167,35813.33672598977,219
bbr2,bbr,8,9,12045469,13770513,1093759,817021,15524816,18963873,110,117,82,112,20848559,28244439,35098.4845315102,220
bbr2,bbr,9,8,12874875,13255910,1431913,1074719,12972855,18597219,100,98,118,84,21376952,28619557,36612.3064823265,221
bbr,bbr,8,9,12622691,13491750,1261432,752178,13403963,19292873,103,97,83,114,29453483,29841104,36465.010819603434,222
bbr2,bbr,8,9,10791623,13417572,1291717,1196016,14245808,18183385,83,110,112,87,23030382,29975333,35359.178620459716,223
