--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr2,bbr,9,8,12612838,12895075,1460919,1325446,14073002,18605619,116,101,81,109,20222395,22107823,27941.322146955772,2183
reno,bbr,9,9,12987780,12567838,1519466,1341805,13467557,18893009,88,101,80,110,20578211,22450088,28236.437781170007,2184
bbr2,bbr,9,10,12856510,12742981,1559206,1289118,13948746,17886184,113,104,82,109,20520090,22343693,36188.038192265,2185
bbr2,bbr,9,10,13202638,13140840,1493006,1255424,14332882,18710183,114,101,80,112,20993333,21986313,27552.929947121782,2186
bbr2,bbr,9,9,13038416,12991198,1468961,1298908,13649390,18426299,115,102,81,113,20992111,22197641,34617.165122391365,2187
bbr2,bbr,9,10,12913176,12566349,1457887,1369759,13851575,18128636,116,106,82,110,20443389,22646211,29045.923720157196,2188
bbr2,bbr,9,10,12574486,13113047,1498144,1264303,14114057,18795306,116,103,80,111,20704582,22168729,28677.54087056762,2189
bbr2,bbr,9,10,12745359,12848635,1451302,1343262,14287903,18532073,112,102,81,111,20972706,21904614,28572.750152680102,2190
bbr2,bbr,9,10,13049409,12671904,1457353,1396623,14038080,18909678,113,103,81,113,20820999,21863185,31004.39492774112,2191
bbr2,bbr,9,10,13206209,12773253,1519669,1310229,14315139,18373931,114,102,82,109,20324188,22865429,27280.008273165353,2192
bbr2,bbr,9,8,15167699,13142503,1473853,1290536,13642196,18662405,115,105,80,110,20958142,22494196,28020.99217453261,2193
bbr2,bbr,9,10,12741820,12561091,1452726,1326377,13491365,18143222,91,104,81,112,20721170,22450604,28684.032447400175,2194
bbr2,bbr,9,10,13073356,12921356,1499294,1244434,14373748,18603866,116,104,80,111,21023352,22999678,33716.96123996111,2195
bbr2,bbr,9,10,12840310,12691817,1627410,1260331,13923769,18925738,113,101,82,109,21024633,22258587,28581.55083539099,2196
bbr2,bbr,9,9,13237421,12953030,1587817,1355840,14177815,18340480,116,107,80,110,20194028,22661389,31757.587688580137,2197
bbr2,bbr,9,10,12896126,12810199,1494245,1276519,13782096,17855326,115,102,81,114,20661444,22202976,26898.401123314845,2198
bbr2,bbr,9,10,13053776,12550226,1451147,1349824,14156397,18938807,112,105,82,110,20442153,22074589,34770.56736412773,2199
bbr2,bbr,9,8,12579789,13155710,1481066,1308115,14398702,18700293,116,101,80,109,21086032,22434729,27933.01357656514,2200
bbr2,bbr,9,10,13158050,13016482,1456178,1392793,13880021,18468841,114,103,82,112,20819518,21934782,33277.100643239246,2201
bbr2,bbr,9,9,12960051,12676252,1565627,1253068,14389322,18198332,115,101,80,111,20488380,22703872,28560.142695033628,2202
reno,bbr,9,10,12754751,12809344,1444911,1282438,13435398,18945366,113,103,81,109,21085145,22047405,27663.05360432895,2203
bbr2,bbr,9,10,13201420,12629339,851851,1359218,14124940,18828719,107,102,81,113,20889736,22273902,33375.260252858556,2204
bbr2,bbr,9,10,11335055,12880817,1532868,1313395,13950697,18496015,114,102,80,109,21076457,21896686,27550.405245364094,2205
bbr2,bbr,9,10,12935394,13038167,1487383,1320583,13689622,18761991,83,101,82,111,20557471,22498654,29304.07516502434,2206
bbr2,reno,9,10,13105961,12513467,1441574,1289787,14393478,18141138,98,104,81,110,20700481,22796719,32337.76872461266,2207
