-o cc_algo (Client),-o cc_algo (Server),-o cfcw (Client),-o cfcw (Server),-o init_max_data (Client),-o init_max_data (Server),-o init_max_streams_bidi (Client),-o init_max_streams_bidi (Server),-o init_max_streams_uni (Client),-o init_max_streams_uni (Server),-o max_cfcw (Client),-o max_cfcw (Server),-o max_sfcw (Client),-o max_sfcw (Server),-o sfcw (Client),-o sfcw (Server),Goodput (kbps),Test Number
3,1,71867,35685,10738844,11173811,113,96,95,92,20132659,20132659,56929,66262,46013,71480,45413.887153478936,47
3,1,55920,56166,11163731,14308566,103,85,100,98,20132659,20132659,96032,41818,122202,84210,45904.60763926891,48
3,3,124598,87164,10899480,13529937,90,117,116,88,20132659,20132659,121528,79097,76592,48615,45153.620451794144,49
2,2,108978,30304,11786706,11104602,95,104,92,91,20132659,20132659,85287,118173,111195,96983,44258.20904420699,50
1,1,116248,19842,10251448,11784435,118,82,96,108,20132659,20132659,75216,100247,129220,22817,46108.175967882715,51
3,1,78473,67821,11262597,15225431,114,101,90,95,20132659,20132659,110443,89644,116605,37310,45272.199066665875,52
3,1,92143,78404,10519098,14847402,116,102,86,94,20132659,20132659,116799,73322,113808,27755,45883.81755448445,53
3,1,97470,47329,10647572,14565635,112,106,88,97,20132659,20132659,100531,91407,92707,32429,46162.32243266831,54
3,1,89114,129335,10183799,15433472,119,103,84,101,20132659,20132659,108976,83096,129950,43677,46084.770493820644,55
3,1,85831,107973,14381310,13751336,110,98,118,85,20132659,20132659,114805,112283,97328,37234,46197.557896962906,56
3,1,86209,106861,14463321,13789005,110,93,120,85,20132659,20132659,126057,124200,98648,51643,46214.406522876896,57
3,1,85684,110665,14559992,13804254,107,94,120,82,20132659,20132659,128203,123044,99680,58195,45923.078396969344,58
3,1,74874,114294,14104074,13409521,111,98,119,85,20132659,20132659,122188,113365,84835,51223,46063.032812315534,59
3,3,106490,101749,15515008,14221167,110,93,115,82,20132659,20132659,117542,124493,96462,53899,45146.524513141216,60
3,1,69285,119791,14839721,13115615,105,96,117,84,20132659,20132659,115634,106180,87733,67435,45993.17608988744,61
3,1,94586,108329,13227690,13721397,102,89,118,87,20132659,20132659,124901,114282,70910,38311,45839.563320734014,62
3,1,99537,89164,14029610,13935351,109,92,112,80,20132659,20132659,106404,128530,78404,48299,46132.11261842907,63
3,1,81439,121358,14375673,13524376,114,99,118,88,20132659,20132659,90212,111953,63968,20836,45976.236371319435,64
3,1,87546,93544,13714969,12706269,107,86,115,86,20132659,20132659,100245,107470,100643,31143,45445.57598688523,65
3,1,92654,98179,14961407,13009782,98,97,120,90,20132659,20132659,41325,20646,88535,45774,46050.642153485525,66
2,1,110729,114819,12577908,13608625,104,90,98,112,20132659,20132659,65177,103060,57493,40850,46282.179452378274,67
2,1,127077,116025,12659097,13652048,104,91,99,113,20132659,20132659,66113,101519,58727,41840,45479.75002046657,68
2,1,117890,125065,15914793,13411286,107,93,94,111,20132659,20132659,71952,118059,107680,60042,45421.65765121858,69
2,2,112287,108140,15353127,12328713,112,88,97,116,20132659,20132659,54503,97260,54333,52490,44309.733648500536,70
2,1,104686,113723,12917854,14154603,102,94,97,119,20132659,20132659,124892,116070,93137,38188,45900.86503836559,71
3,1,96860,20794,14728409,13298319,93,89,109,83,20132659,20132659,64149,110847,64763,26353,45969.66046950538,72
1,1,101430,36606,13925835,13841256,104,84,118,85,20132659,20132659,73710,126451,71372,34333,45926.39716884393,73
2,1,122247,25861,10002791,10618466,100,90,102,105,20132659,20132659,59570,86712,82166,45044,45975.48042484227,74
3,1,110852,105061,12386317,14368051,110,81,91,92,20132659,20132659,113870,75373,48315,31841,45588.27877048824,75
3,1,90613,29140,10423689,14010255,105,87,115,108,20132659,20132659,119604,93881,61256,35443,45575.250759804105,76
2,3,130400,16541,13415106,13150994,109,92,104,81,20132659,20132659,49109,102253,74960,42191,44740.435744953196,77
3,1,105556,23946,14286132,10981246,101,85,113,88,20132659,20132659,29904,62154,97307,50142,45601.859603420875,78
3,1,81763,20527,10888009,13622544,113,83,93,89,20132659,20132659,93063,97981,84967,16770,46002.45789308878,79
2,1,19244,40660,10179534,12867574,115,95,117,86,20132659,20132659,130857,121458,58624,24746,45920.58963281519,80
1,2,85427,52808,15223951,11367172,88,100,100,91,20132659,20132659,101084,109105,65270,67603,44217.732829972265,81
3,1,60841,73609,10699503,15693960,117,102,119,94,20132659,20132659,108741,81014,107596,28773,45069.076193883986,82
3,1,79633,43800,10394997,14707438,111,108,98,93,20132659,20132659,113544,87592,121058,38751,45983.5955491018,83
3,1,97318,80310,10966327,10208088,115,99,90,95,20132659,20132659,105997,91485,104468,31847,45343.97408856462,84
3,1,75932,102197,11476492,13929584,106,101,96,99,20132659,20132659,127182,71601,126798,36157,45465.231482987,85
3,1,102158,31127,12023837,14562680,114,97,87,96,20132659,20132659,19426,77895,111792,40350,45969.3833655282,86
3,1,93754,60367,10541924,13368472,112,88,116,91,20132659,20132659,79171,104002,78962,27337,46263.64838645987,87
3,1,94544,66508,10582009,13598447,96,91,116,112,20132659,20132659,79501,103034,91158,21985,45544.34523890317,88
2,1,89005,35015,10202303,13390990,112,88,114,91,20132659,20132659,86099,28570,78493,27804,46139.87707925165,89
3,3,107601,61845,10366923,12968870,99,86,118,82,20132659,20132659,82669,106083,68214,47191,45110.835656917916,90
3,1,91918,58941,10784971,13160780,108,90,120,87,20132659,20132659,59742,98957,71930,54813,46242.32795716114,91
3,1,91812,57363,11080666,13200591,108,90,120,87,20132659,20132659,59742,99563,72237,55684,46110.12749724475,92
3,1,99335,49392,10812520,12646283,110,90,119,85,20132659,20132659,68800,94677,79055,61433,45498.373936115975,93
3,1,86460,77096,10466658,13702767,103,92,117,89,20132659,20132659,77328,84748,75898,43693,45550.89895144956,94
3,1,115080,65067,10576417,10419455,106,88,116,90,20132659,20132659,65099,104108,66382,64427,45996.70676921778,95
3,1,96261,59475,10105387,13088540,108,83,94,88,20132659,20132659,52927,108284,82864,33627,46136.50200883834,96
3,1,93266,22548,10315288,13338661,109,94,111,93,20132659,20132659,71946,116004,86774,19715,46179.90802122316,97
3,1,103338,45653,10684347,13853611,101,85,120,84,20132659,20132659,97686,113609,52097,113375,46073.05136047902,98
